# slug,sha,module,num_of_tests,num_of_test_classes,num_of_OD_tests,num_of_all_pairs,num_of_cross_class_pairs,num_of_intra_class_pairs,num_of_orders,num_of_detected_OD_tests,percent_of_detected_OD_tests,time_to_compute_orders,time_to_run_each_order
Activiti/Activiti,b11f757,./activiti-spring-boot-starter,45,11,16,1454,1276,178,217,16,100.0,0.87,7.362875
alibaba/fastjson,5c6d6fd,.,0,0,2,20322554,20300248,22306,0,0,0.0,0.0,43.553
apache/dubbo,737f7a7,./dubbo-cluster,112,23,3,6740,5608,1132,1616,3,100.0,2.678,4.782333333333333
apache/dubbo,737f7a7,./dubbo-common,520,70,1,6968,4310,2658,1005,1,100.0,2.597,31.846500000000002
apache/dubbo,737f7a7,./dubbo-config/dubbo-config-api,263,23,37,3422,3092,330,469,18,48.648648648648646,1.673,6.005125
apache/dubbo,737f7a7,./dubbo-filter/dubbo-filter-cache,9,5,1,6,4,2,4,0,0.0,0.293,3.2804
apache/dubbo,737f7a7,./dubbo-rpc/dubbo-rpc-api,60,23,2,686,596,90,90,2,100.0,0.188,4.12325
apache/dubbo,737f7a7,./dubbo-rpc/dubbo-rpc-dubbo,74,16,2,3340,3038,302,512,2,100.0,1.04,205.3525
apache/dubbo,737f7a7,./dubbo-serialization/dubbo-serialization-fst,21,4,1,342,156,186,70,1,100.0,0.086,0.641
apache/hadoop,cc2babc,./hadoop-common-project/hadoop-auth,125,22,1,4122,3154,968,726,1,100.0,2.447,103.5695
apache/hadoop,cc2babc,./hadoop-hdfs-project/hadoop-hdfs-nfs,64,12,28,3152,2480,672,757,28,100.0,2.223,56.30475
apache/hadoop,cc2babc,./hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app,394,49,4,146428,140182,6246,13500,4,100.0,823.498,243.08675
apache/hadoop,cc2babc,./hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core,293,60,5,68280,65650,2630,5228,5,100.0,167.465,60.5325
apache/hadoop,cc2babc,./hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-hs,206,26,2,41596,38874,2722,4500,2,100.0,61.602,69.450125
Apache/Struts,13d9053,./plugins/portlet,61,12,4,1802,1524,278,353,4,100.0,0.648,1.495
c2mon/c2mon,d80687b,./c2mon-server/c2mon-server-elasticsearch,19,11,1,186,158,28,50,1,100.0,0.995,24.48
ctco/cukes,b483e1a,./cukes-http,14,4,1,30,0,30,10,1,100.0,0.157,1.6096666666666666
doanduyhai/Achilles,e3099bd,./integration-test-2_1,233,40,9,53130,49734,3396,7488,9,100.0,114.585,42.44833333333333
doanduyhai/Achilles,e3099bd,./integration-test-2_2,23,4,7,506,382,124,147,7,100.0,0.899,16.212500000000002
doanduyhai/Achilles,e3099bd,./integration-test-3_10,24,3,2,462,254,208,150,2,100.0,0.883,12.979999999999999
doanduyhai/Achilles,e3099bd,./integration-test-3_7,6,1,6,30,0,30,10,4,66.66666666666667,0.685,12.753666666666668
dropwizard/dropwizard,07dfaed,./dropwizard-logging,80,18,1,1754,1218,536,406,1,100.0,0.608,4.313166666666667
elasticjob/elastic-job-lite,b022898,./elastic-job-lite-core,511,98,3,25930,24132,1798,1875,3,100.0,23.954,26.017
fhoeben/hsac-fitnesse-fixtures,a64c18d,.,251,49,1,11960,10536,1424,1979,1,100.0,5.773,2.7598333333333334
hexagonframework/spring-data-ebean,dd11b97,.,48,2,1,2256,574,1682,574,1,100.0,0.463,1.5681666666666667
jhipster/jhipster-registry,00db366,.,53,14,1,54,0,54,12,0,0.0,0.904,9.344
kevinsawicki/http-request,2d62a3e,./lib,163,2,25,26038,278,25760,278,25,100.0,1.345,1.02
ktuukkan/marine-api,af00038,.,926,71,12,5210,3132,2078,733,12,100.0,2.269,2.111
openpojo/openpojo,9badbcc,.,1185,213,3,604572,595862,8710,29154,3,100.0,19467.856,27.409666666666666
spring-projects/spring-boot,daa3d45,./spring-boot-project/spring-boot-actuator-autoconfigure,733,166,8,287274,283162,4112,13419,8,100.0,4174.723,35.279375
spring-projects/spring-boot,daa3d45,./spring-boot-project/spring-boot,0,0,2,842748,791576,51172,0,0,0.0,0.0,42.161
spring-projects/spring-boot,daa3d45,./spring-boot-project/spring-boot-test-autoconfigure,234,103,4,16834,16456,378,826,2,50.0,12.216,55.38225
spring-projects/spring-boot,daa3d45,./spring-boot-project/spring-boot-test,721,115,1,19430,16508,2922,1026,1,100.0,15.526,9.117875
spring-projects/spring-data-envers,5637994,.,10,4,2,0,0,0,0,0,0.0,0.231,3.022
spring-projects/spring-ws,e8d89c9,./spring-ws-core,971,145,15,128404,124006,4398,6709,15,100.0,675.0,8.397166666666667
spring-projects/spring-ws,e8d89c9,./spring-ws-security,122,43,2,626,554,72,80,0,0.0,0.314,1.6835000000000002
tbsalling/aismessages,7b0c4c7,.,44,18,2,1698,1606,92,216,2,100.0,0.333,0.5358333333333333
tools4j/unix4j,367da7d,./unix4j-core/unix4j-command,290,30,1,80942,76624,4318,10004,1,100.0,223.686,4.7585
vmware/admiral,e4b0293,./compute,488,74,1,197982,192844,5138,13102,1,100.0,1455.767,161.590625
vmware/admiral,e4b0293,./request,325,49,1,94702,91068,3634,10298,1,100.0,320.045,327.2948571428571
wikidata/wikidata-toolkit,20de6f7,./wdtk-dumpfiles,50,9,3,2148,1820,328,411,3,100.0,0.52,2.9446666666666665
wikidata/wikidata-toolkit,20de6f7,./wdtk-util,23,5,2,32,0,32,6,2,100.0,0.009,0.8468333333333334
wildfly/wildfly,b19048b,./naming,82,11,44,2802,1978,824,738,44,100.0,1.075,1.7216666666666667
wildfly/wildfly,b19048b,./security/subsystem,25,10,1,220,196,24,39,1,100.0,0.457,3.754
wro4j/wro4j,185ab60,./wro4j-core,851,137,15,338914,331084,7830,24269,15,100.0,5984.027,9.235625
wso2/carbon-apimgt,a82213e,./components/apimgt/org.wso2.carbon.apimgt.core,530,46,1,113660,72606,41054,34433,1,100.0,587.933,2.534333333333333
zalando/riptide,8277e11,./riptide-spring-boot-starter,40,25,2,344,336,8,38,2,100.0,0.71,8.037
