# slug,sha,module,time_to_compute_TuscanIntra_orders,time_to_compute_TuscanOnly_orders,time_to_compute_TuscanInter_orders,time_to_process_for_static_orders,time_to_compute_static_orders
Activiti/Activiti,b11f757,activiti-spring-boot-starter,0.419,0.449,0.475,9.022747262,0.87
alibaba/fastjson,5c6d6fd,.,48.202,48.511,713.0641677,72.17451815,0
apache/dubbo,737f7a7,dubbo-cluster,0.511,0.507,1.331,9.844670833,2.678
apache/dubbo,737f7a7,dubbo-common,0.827,0.758,979.691,58.18965449,2.597
apache/dubbo,737f7a7,dubbo-config/dubbo-config-api,0.627,0.669,12.069,9.702114999,1.673
apache/dubbo,737f7a7,dubbo-filter/dubbo-filter-cache,0.307,0.313,0.324,6.143590428,0.293
apache/dubbo,737f7a7,dubbo-rpc/dubbo-rpc-api,0.4,0.434,0.603,6.768743143,0.188
apache/dubbo,737f7a7,dubbo-rpc/dubbo-rpc-dubbo,0.422,0.443,0.636,226.3287553,1.04
apache/dubbo,737f7a7,dubbo-serialization/dubbo-serialization-fst,0.3,0.315,0.302,3.098177258,0.086
apache/hadoop,cc2babc,hadoop-common-project/hadoop-auth,0.609,0.619,1.807,124.0674474,2.447
apache/hadoop,cc2babc,hadoop-hdfs-project/hadoop-hdfs-nfs,0.497,0.51,0.594,85.84489804,2.223
apache/hadoop,cc2babc,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app,3.156,3.068,207.36,406.097509,823.498
apache/hadoop,cc2babc,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core,1.53,1.579,112.592,160.2265464,167.465
apache/hadoop,cc2babc,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-hs,1.302,1.245,9.216,114.3216846,61.602
Apache/Struts,13d9053,plugins/portlet,0.384,0.375,0.495,4.394285691,0.648
c2mon/c2mon,d80687b,c2mon-server/c2mon-server-elasticsearch,0.588,0.533,0.619,28.83171729,0.995
ctco/cukes,b483e1a,cukes-http,0.401,0.378,0.393,5.49793878,0.157
doanduyhai/Achilles,e3099bd,integration-test-2_1,0.926,0.884,26.407,39.73444774,114.585
doanduyhai/Achilles,e3099bd,integration-test-2_2,0.423,0.404,0.388,18.09290579,0.899
doanduyhai/Achilles,e3099bd,integration-test-3_10,0.379,0.392,0.401,14.85269331,0.883
doanduyhai/Achilles,e3099bd,integration-test-3_7,0.36,0.366,0.344,14.43397557,0.685
dropwizard/dropwizard,07dfaed,dropwizard-logging,0.517,0.481,1.015,7.600185784,0.608
elasticjob/elastic-job-lite,b022898,elastic-job-lite-core,0.936,0.946,1513.626,57.45137418,23.954
fhoeben/hsac-fitnesse-fixtures,a64c18d,.,0.642,0.669,35.587,11.78698976,5.773
hexagonframework/spring-data-ebean,dd11b97,.,0.385,0.366,0.376,5.363158131,0.463
jhipster/jhipster-registry,00db366,.,0.69,0.616,0.672,17.29775094,0.904
kevinsawicki/http-request,2d62a3e,lib,1.302,1.278,1.343,3.162117369,1.345
ktuukkan/marine-api,af00038,.,0.587,0.608,3066.705,3.330006162,2.269
openpojo/openpojo,9badbcc,.,1.282,1.35,85008.976,40.79579364,19467.856
spring-projects/spring-boot,daa3d45,spring-boot-project/spring-boot,6.076,6.068,696543.769,49.80127571,0
spring-projects/spring-boot,daa3d45,spring-boot-project/spring-boot-actuator-autoconfigure,8.402,8.319,11438.053,49.96220661,4174.723
spring-projects/spring-boot,daa3d45,spring-boot-project/spring-boot-test,4.689,4.582,8694.726,18.93307687,15.526
spring-projects/spring-boot,daa3d45,spring-boot-project/spring-boot-test-autoconfigure,5.867,5.956,124.831,66.84604591,12.216
spring-projects/spring-data-envers,5637994,.,0.367,0.357,0.358,4.684682178,0.231
spring-projects/spring-ws,e8d89c9,spring-ws-core,1.493,1.635,22681.735,10.00605049,675
spring-projects/spring-ws,e8d89c9,spring-ws-security,0.885,0.899,3.469,3.950019158,0.314
tbsalling/aismessages,7b0c4c7,.,0.365,0.404,0.395,2.323538234,0.333
tools4j/unix4j,367da7d,unix4j-core/unix4j-command,0.817,0.817,21.84,10.47462938,223.686
vmware/admiral,e4b0293,compute,1.88,1.897,684.318,184.0368985,1455.767
vmware/admiral,e4b0293,request,1.522,1.501,76.738,310.1657181,320.045
wikidata/wikidata-toolkit,20de6f7,wdtk-dumpfiles,0.38,0.359,0.413,5.5810398,0.52
wikidata/wikidata-toolkit,20de6f7,wdtk-util,0.292,0.313,0.312,2.92906047,0.009
wildfly/wildfly,b19048b,naming,0.536,0.562,0.625,5.162013209,1.075
wildfly/wildfly,b19048b,security/subsystem,0.48,0.501,0.514,8.28264281,0.457
wro4j/wro4j,185ab60,wro4j-core,1.449,1.451,12111.886,11.34990926,5984.027
wso2/carbon-apimgt,a82213e,components/apimgt/org.wso2.carbon.apimgt.core,0.987,1.039,457.1573261,31.87280389,587.933
zalando/riptide,8277e11,riptide-spring-boot-starter,0.679,0.669,0.752,13.85156326,0.71
